ts,raw_score,smoothed_score,band
1757811738,88.00,51.84,Mild
1757811738,38.53,48.91,Mild
1757811738,42.89,47.59,Mild
1757811738,88.00,56.48,Moderate
1757811738,39.24,52.69,Mild
1757811738,88.00,60.46,Moderate
1757811739,38.53,55.63,Moderate
1757811739,39.27,52.03,Mild
1757811739,38.53,49.06,Mild
1757811739,38.53,46.75,Mild
1757811834,5.06,1.11,None
1757811834,6.53,2.31,None
1757811834,11.86,4.41,None
1757811834,10.13,5.67,None
1757811834,5.98,5.73,None
1757811834,7.96,6.22,None
1757811834,7.06,6.41,None
1757811834,10.24,7.25,None
1757811834,14.02,8.74,None
1757811834,16.38,10.42,None
1757811834,9.18,10.15,None
1757811834,7.08,9.47,None
1757811834,9.30,9.43,None
1757811834,11.98,10.00,None
1757811834,88.00,27.16,Mild
1757811834,14.20,24.31,Mild
1757811834,0.00,18.96,Mild
1757811834,7.83,16.51,Mild
1757811834,0.00,12.88,Mild
1757811834,0.00,10.04,None
1757811834,0.00,7.83,None
1757811834,0.00,6.11,None
1757811834,0.00,4.77,None
1757811834,9.72,5.86,None
1757811834,0.00,4.57,None
1757811834,0.00,3.56,None
1757811834,8.14,4.57,None
1757811834,88.00,22.92,Mild
1757811834,6.69,19.35,Mild
1757811834,0.00,15.10,Mild
1757811835,5.34,12.95,Mild
1757811835,4.60,11.11,Mild
1757811835,7.91,10.41,None
1757811835,88.00,27.48,Mild
1757811835,4.66,22.46,Mild
1757811835,0.00,17.52,Mild
1757811835,6.96,15.19,Mild
1757811835,4.10,12.75,Mild
1757811835,7.66,11.63,Mild
1757811835,88.00,28.43,Mild
1757811835,7.43,23.81,Mild
1757811835,0.00,18.57,Mild
1757811835,0.00,14.49,Mild
1757811835,0.00,11.30,Mild
1757811835,19.14,13.02,Mild
1757811835,88.00,29.52,Mild
1757811835,60.00,36.22,Mild
1757811835,88.00,47.62,Mild
1757811835,88.00,56.50,Moderate
1757811835,88.00,63.43,Moderate
1757811835,88.00,68.84,Moderate
1757811835,88.00,73.05,Moderate
1757811835,60.00,70.18,Moderate
1757811835,60.00,67.94,Moderate
1757811835,88.00,72.35,Moderate
1757811835,60.00,69.64,Moderate
1757811835,60.00,67.52,Moderate
1757811835,60.00,65.86,Moderate
1757811835,60.00,64.57,Moderate
1757811835,60.00,63.57,Moderate
1757811836,88.00,68.94,Moderate
1757811836,88.00,73.13,Moderate
1757811836,60.00,70.25,Moderate
1757811836,88.00,74.15,Moderate
1757811836,88.00,77.20,Moderate
1757811836,88.00,79.57,Moderate
1757811836,88.00,81.43,High
1757811836,88.00,82.87,High
1757811836,88.00,84.00,High
1757811836,88.00,84.88,High
1757811836,60.00,79.41,Moderate
1757811836,60.00,75.14,Moderate
1757811836,29.66,65.13,Moderate
1757811836,60.00,64.00,Moderate
1757811836,88.00,69.28,Moderate
1757811836,88.00,73.40,Moderate
1757811836,88.00,76.61,Moderate
1757811836,88.00,79.12,Moderate
1757811836,88.00,81.07,High
1757811836,88.00,82.60,High
1757811836,88.00,83.78,High
1757811836,88.00,84.71,High
1757811836,88.00,85.44,High
1757811836,88.00,86.00,High
1757811836,88.00,86.44,High
1757811836,88.00,86.78,High
1757811836,88.00,87.05,High
1757811836,88.00,87.26,High
1757811836,88.00,87.42,High
1757811836,88.00,87.55,High
1757811836,11.94,70.92,Moderate
1757811837,88.00,74.67,Moderate
1757811837,14.37,61.41,Moderate
1757811837,15.95,51.41,Mild
1757811837,7.71,41.79,Mild
1757811837,88.00,51.96,Mild
1757811837,7.50,42.18,Mild
1757811837,88.00,52.26,Mild
1757811837,0.00,40.76,Mild
1757811837,5.95,33.10,Mild
1757811837,19.56,30.12,Mild
1757811837,6.86,25.01,Mild
1757811837,22.06,24.36,Mild
1757811837,60.00,32.20,Mild
1757811837,60.00,38.31,Mild
1757811837,88.00,49.25,Mild
1757811837,60.00,51.61,Mild
1757811837,88.00,59.62,Moderate
1757811837,88.00,65.86,Moderate
1757811837,88.00,70.73,Moderate
1757811837,88.00,74.53,Moderate
1757811837,88.00,77.49,Moderate
1757811837,60.00,73.65,Moderate
